Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_041081104.1	3.2.1.22	GH36(119-435)	GH36	GH36	N	3
WP_041081105.1	3.2.1.21	GH1(2-435)	GH1	GH1	N	3
WP_041081185.1	N	CE9(7-368)	N	CE9	N	2
WP_041081535.1	N	CE7(4-319)	CE7	CE7	N	3
WP_041081536.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(91-317)	GH3	GH3	N	3
WP_041081647.1	2.4.1.-|2.4.1.25	GH13(113-509)	GH13	GH13	N	3
WP_041081754.1	3.2.1.-	GH38(3-253)	GH38	GH38	N	3
WP_041081911.1	3.2.1.23	GH2(36-873)	GH2+CBM32	GH2	N	3
WP_041081913.1	N	GH53(25-367)+CBM61(454-594)	GH53+CBM61+CBM32	CBM61+GH53	N	3
WP_041082020.1	N	GT26(56-215)	GT26	N	N	2
WP_041082031.1	N	GT2(5-137)	N	N	N	1
WP_041082111.1	N	GT4(219-379)	GT4	GT4	N	3
WP_041082122.1	N	GH38(4-245)	GH38	GH38	N	3
WP_041082184.1	N	GH4(2-177)	GH4	GH4	N	3
WP_041082188.1	N	CE14(24-139)	N	N	N	1
WP_041082268.1	2.4.1.18|3.2.1.1	GH57(7-426)	GH57	GH57	N	3
WP_041082347.1	3.2.1.20	GH4(5-190)	GH4	GH4	N	3
WP_041082350.1	N	GH109(7-153)	N	N	N	1
WP_041082354.1	N	PL1(80-270)	N	PL1	Y(1-25)	2
WP_041082522.1	3.2.1.20	GH4(5-185)	GH4	GH4	N	3
WP_041082805.1	N	GH2(3-565)	N	GH2	N	2
WP_041082835.1	N	GT5(2-478)	GT5	GT5	N	3
WP_041083036.1	N	GH127(28-538)	GH127	GH127	N	3
WP_041083051.1	3.2.1.55	GH51(4-478)	GH51	GH51	N	3
WP_041083228.1	N	GT28(182-325)	GT28	GT28	N	3
WP_041083455.1	N	GH171(21-384)	N	GH171	N	2
WP_041083589.1	3.2.1.21	GH1(2-470)	GH1	GH1	N	3
WP_041083611.1	N	GH42(28-393)+GH164(238-673)	N	GH42	N	2
