Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_165274499.1	N	CBM50(28-70)	CBM50	CBM50	N	3
WP_165274627.1	N	GH42(7-369)	GH42	GH42	N	3
WP_165274665.1	N	GT4(279-390)	GT4+GT2	GT4	N	3
WP_165274677.1	N	GH109(2-178)	N	N	N	1
WP_165274701.1	N	GT4(216-380)	GT4	GT4	N	3
WP_165274743.1	N	GH109(2-170)	N	N	N	1
WP_165274744.1	N	GH109(2-154)	N	N	N	1
WP_165274875.1	3.2.1.21	GH1(2-472)	GH1	GH1	N	3
WP_165274878.1	3.2.1.-	GH38(3-252)	GH38	GH38	N	3
WP_165274884.1	3.2.1.139|3.2.1.131	GH67(5-674)	GH67	GH67	N	3
WP_165274891.1	N	CE7(4-318)	CE7	CE7	N	3
WP_165274897.1	3.2.1.8	GH10(36-341)	GH10	GH10	Y(1-30)	3
WP_165274905.1	N	GT2(6-147)	N	N	N	1
WP_165274908.1	N	GT4(196-333)	N	N	N	1
WP_165274918.1	N	GT4(222-363)	GT4	GT4	N	3
WP_165274925.1	N	GH23(65-171)	GH23	N	N	2
WP_165275007.1	N	GH4(2-176)	GH4	GH4	N	3
WP_165275069.1	N	GH23(66-176)	N	N	N	1
WP_165275134.1	N	GT5(2-478)	GT5	GT5	N	3
WP_165275155.1	3.2.1.20	GH4(5-185)	GH4	GH4	N	3
WP_165275191.1	N	GH171(24-386)	N	GH171	N	2
WP_165275265.1	2.4.1.18|3.2.1.1	GH57(6-419)	GH57	GH57	N	3
WP_165275307.1	N	GT26(38-199)	GT26	N	N	2
WP_165275321.1	2.4.1.-|2.4.1.25	GH13(112-506)	GH13	GH13	N	3
WP_165275326.1	3.2.1.55	GH51(3-481)	GH51	GH51	N	3
WP_165275327.1	3.2.1.68|3.2.1.-|2.4.1.25	GH13_11(196-549)	CBM48+GH13	CBM48+GH13_11	N	3
WP_165275344.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-311)	GH3	GH3	N	3
WP_165275345.1	N	GT4(176-325)	GT4	GT4	N	3
WP_165275393.1	N	GT4(198-346)	GT4	GT4	N	3
WP_165275395.1	N	GT2(5-128)	N	N	N	1
WP_165275398.1	N	GT56(29-348)	GT56+GT56	GT0	N	3
WP_165275447.1	N	GH28(48-406)	GH28	GH28	N	3
WP_165275448.1	N	PL1(71-268)	N	PL1	N	2
WP_165275480.1	3.2.1.52	GH3(53-268)	GH3	GH3	N	3
WP_165275485.1	3.2.1.8|3.1.1.73	CE1(76-294)	CE1	CE1	Y(1-24)	3
WP_165275543.1	N	GH38(2-240)	GH38	GH38	N	3
WP_165275544.1	2.4.1.-	GT81(12-266)	GT81	GT81	N	3
WP_165275605.1	3.2.1.20	GH4(3-185)	GH4	GH4	N	3
WP_165275656.1	N	GH23(40-151)	GH23	N	N	2
WP_165275708.1	N	CE9(4-369)	N	CE9	N	2
WP_165275758.1	N	GT2(2-120)	GT2	GT2	N	3
WP_165275782.1	3.2.1.41	CBM41(23-120)+GH13_14(385-702)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	Y(1-21)	3
WP_165275783.1	N	GH20(116-368)	GH20	GH20	N	3
WP_165275788.1	N	GT4(154-305)	GT4	GT4	N	3
WP_165275885.1	N	GT4(191-347)	GT4	GT4	N	3
WP_165276021.1	N	GT28(182-316)	GT28	GT28	N	3
WP_165276112.1	N	CE14(14-129)	CE14	CE14	N	3
WP_165276144.1	N	GH53(26-369)+CBM61(457-596)	GH53+CBM61+CBM32	CBM61+GH53	N	3
WP_165276205.1	3.2.1.22	GH36(94-467)	GH36	GH36	N	3
WP_165276231.1	N	GH109(1-157)	N	N	N	1
WP_165276273.1	N	GH2(3-607)	N	GH2	N	2
WP_165276297.1	N	AA4(2-228)	N	N	N	1
WP_165276300.1	N	GH3(63-283)	GH3	GH3	N	3
WP_165276324.1	N	GH31(215-652)	GH31	GH31	N	3
