Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_011942738.1	N	GT5(2-479)	GT5	GT5	N	3
WP_011942841.1	N	GH130(45-330)	GH0	GH0	N	3
WP_011942868.1	N	GT4(191-342)	GT4	GT4	N	3
WP_011942997.1	N	GH109(2-180)	N	N	N	1
WP_011943512.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_011943530.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_012310265.1	N	GH23(27-145)	GH23	N	N	2
WP_012310278.1	N	GT51(54-219)	GT51	GT51	N	3
WP_012310327.1	N	GT26(56-217)	GT26	GT26	N	3
WP_012310330.1	N	CE9(17-357)	CE9	CE9	N	3
WP_012310361.1	N	GT2(7-127)	GT2	GT2	N	3
WP_012310362.1	N	GT4(288-400)	GT2+GT4	GT4	N	3
WP_012310367.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_012310444.1	N	GH73(13-132)	GH73	N	N	2
WP_012310446.1	N	GT4(200-350)	GT4	GT4	N	3
WP_012310458.1	N	GT4(223-348)	GT4	GT4	N	3
WP_012310581.1	N	CE8(127-434)	N	CE8	Y(1-24)	2
WP_012310582.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(81-306)	GH3	GH3	N	3
WP_012310584.1	N	CE7(3-319)	CE7	CE7	N	3
WP_012310585.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_012310597.1	N	GH109(2-151)	N	N	N	1
WP_012310607.1	N	GT4(216-378)	GT4	GT4	N	3
WP_012310621.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_012310641.1	N	GH42(14-388)	GH42	GH42	N	3
WP_012310643.1	3.2.1.177	GH31(233-663)	GH31	GH31	N	3
WP_012310645.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
WP_012310659.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_012310660.1	N	GH51(195-522)	GH51	GH51	N	3
WP_012310663.1	3.2.1.99	GH43_4(30-355)	GH43	GH43_4	Y(1-20)	3
WP_012310665.1	3.2.1.99	GH43_4(35-364)	GH43	GH43_4	Y(1-23)	3
WP_012310669.1	N	GH127(26-532)	GH127	GH127	N	3
WP_012310700.1	N	GT28(182-327)	GT28	GT28	N	3
WP_012310773.1	3.2.1.8|3.1.1.72	CE4(28-134)	CE4+CBM6	CE4	Y(1-27)	3
WP_012310789.1	N	CE7(3-319)	CE7	CE7	N	3
WP_012310790.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_012310796.1	3.2.1.8	GH10(29-337)	GH10	GH10	Y(1-20)	3
WP_012310801.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(56-174)+CBM22(206-335)+GH10(370-691)+CBM9(729-867)+CBM9(882-1057)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	Y(1-31)	3
WP_012310806.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_012310822.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_012310846.1	N	GH130(5-295)	GH130	GH130	N	3
WP_012310847.1	3.2.1.24	GH38(247-498)	GH38	GH38	N	3
WP_012310850.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_012310857.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_012310860.1	N	GH13_36(74-383)	GH13	GH13_36	Y(1-26)	3
WP_012310864.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_012310924.1	3.2.1.73|3.2.1.78	GH5_36(10-295)	GH5	GH5_36	N	3
WP_012310995.1	3.2.1.133	GH13(25-297)	GH13	GH13	N	3
WP_012311002.1	3.2.1.4	GH12(86-253)	GH12	GH12	N	3
WP_012311003.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-28)	3
WP_012311042.1	3.2.1.25	GH2(2-667)	GH2	GH2	N	3
WP_012311053.1	N	GH32(7-291)	GH32	GH32	N	3
WP_012311074.1	2.4.1.18|3.2.1.1	GH57(7-418)	GH57	GH57	N	3
WP_012311113.1	N	GH114(37-262)	N	GH0	Y(1-27)	2
WP_012311118.1	N	GT4(277-431)	GT4	GT4	N	3
WP_012311176.1	N	GH4(2-175)	GH4	GH4	N	3
WP_012311182.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(25-147)+CBM22(174-304)+GH10(332-652)+CBM9(690-828)+CBM9(843-1018)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	Y(1-27)	3
WP_012311201.1	N	GH38(2-221)	GH38	GH38	N	3
WP_012311203.1	2.4.1.-	GT81(2-244)	GT81	GT81	N	3
WP_012311204.1	3.2.1.78	GH5_7(54-352)+CBM27(505-662)	CBM27+GH5	CBM27+GH5_7	N	3
WP_012311206.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_012311219.1	N	GH53(30-375)+CBM61(463-602)	CBM61+GH53+CBM32	CBM61+GH53	N	3
WP_012311225.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_012311226.1	3.2.1.23	GH2(37-869)	GH2+CBM67+CBM32	GH2	N	3
WP_012311227.1	3.2.1.22	GH36(50-449)	GH36	GH36	N	3
WP_012311240.1	2.4.1.1	GT35(114-610)	GT35	GT35	N	3
WP_012311317.1	N	GH106(5-518)	GH0	GH106	N	3
WP_029683816.1	3.2.1.4	GH5_25(28-289)	GH5	GH5_25	N	3
WP_148186666.1	2.4.1.-|2.4.1.25	GH13(123-511)	GH13	GH13	N	3
WP_148202873.1	3.2.1.52	GH3(59-274)	GH3	GH3	N	3
WP_148202884.1	N	GH23(76-185)	GH23	N	Y(1-31)	2
WP_148202895.1	N	GH28(55-413)	GH28	GH28	N	3
WP_148202898.1	N	PL1(77-274)	N	PL1	Y(1-37)	2
WP_148202903.1	N	GH109(4-154)	N	N	N	1
WP_238514432.1	N	CE1(148-344)	CE0	N	N	2
WP_238514433.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(215-455)+CBM4(486-624)	GH16+CBM4	CBM4+GH16_3	Y(1-18)	3
WP_238514491.1	N	GT2(10-112)	N	GT2	N	2
WP_004080862.1	N	N	CE11	N	N	1
WP_012310358.1	N	N	GT4	GT4	N	2
WP_011942974.1	N	N	GT4	GT4	N	2
WP_012310599.1	N	N	CBM50	CBM50	N	2
WP_004083030.1	N	N	GH74	GH74	N	2
