Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_004080686.1	N	GT5(2-479)	GT5	GT5	N	3
WP_004080706.1	N	GT51(54-219)	GT51	GT51	N	3
WP_004081649.1	N	GH32(7-291)	GH32	GH32	N	3
WP_004082552.1	N	CBM22(33-126)	N	N	Y(1-26)	1
WP_004082686.1	3.2.1.8|3.1.1.72	CE4(29-142)	CE4+CBM6	CE4	Y(1-28)	3
WP_004083169.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_008191941.1	N	GT4(216-378)	GT4	GT4	N	3
WP_008191990.1	N	GH109(2-142)	N	N	N	1
WP_008192013.1	N	GH109(2-151)	N	N	N	1
WP_008192030.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_008192031.1	N	CE7(3-320)	CE7	CE7	N	3
WP_008192035.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(82-307)	GH3	GH3	N	3
WP_008192037.1	N	PL1(90-269)	N	PL1	Y(1-20)	2
WP_008192388.1	N	GH109(2-180)	N	N	N	1
WP_008192492.1	N	GT4(225-350)	GT4	GT4	N	3
WP_008192498.1	N	GT4(211-345)	N	GT4	N	2
WP_008192527.1	N	GT4(192-320)	N	GT4	N	2
WP_008192531.1	N	GT4(201-351)	GT4	GT4	N	3
WP_008192542.1	N	GH73(11-132)	GH73	N	N	2
WP_008192772.1	N	GT4(191-342)	GT4	GT4	N	3
WP_008192792.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_008192801.1	N	GT4(287-392)+GT2(743-849)	GT2+GT4	GT2+GT4	N	3
WP_008192803.1	N	GT2(7-136)	GT2	GT2	N	3
WP_008192923.1	N	GH130(45-330)	GH0	GH0	N	3
WP_008192978.1	N	CE9(17-357)	CE9	CE9	N	3
WP_008193152.1	N	GH23(27-145)	GH23	N	N	2
WP_008193439.1	3.2.1.31	GH2(9-561)	GH2	GH2	N	3
WP_008193444.1	N	CBM67(128-301)+GH78(327-838)	CBM67+GH78	GH78	N	3
WP_008193446.1	3.2.1.-	GH127(16-553)	GH127	GH127	N	3
WP_008193456.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_008193464.1	N	GH29(5-355)	GH29	GH29	N	3
WP_008193474.1	N	GH127(26-530)	GH127	GH127	N	3
WP_008193669.1	N	GH42(14-388)	GH42	GH42	N	3
WP_008193673.1	3.2.1.177	GH31(233-663)	GH31	GH31	N	3
WP_008193678.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
WP_008193756.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_008193766.1	N	GH127(26-532)	GH127	GH127	N	3
WP_008193849.1	N	GT28(182-327)	GT28	GT28	N	3
WP_008194121.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_008194141.1	3.2.1.8	GH10(28-337)	GH10	GH10	Y(1-20)	3
WP_008194151.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(56-174)+CBM22(206-335)+GH10(370-691)+CBM9(729-867)+CBM9(882-1057)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	N	3
WP_008194158.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_008194210.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_008194305.1	N	GH130(5-295)	GH130	GH130	N	3
WP_008194307.1	3.2.1.24	GH38(247-498)	GH38	GH38	N	3
WP_008194321.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_008194335.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_008194351.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_008194353.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_008194696.1	3.2.1.133	GH13(25-297)	GH13	GH13	N	3
WP_008194707.1	3.2.1.4	GH12(3-94)	GH12	N	N	2
WP_008194708.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-28)	3
WP_008194907.1	3.2.1.25	GH2(2-671)	GH2	GH2	N	3
WP_008195099.1	2.4.1.18|3.2.1.1	GH57(7-418)	GH57	GH57	N	3
WP_008195333.1	N	GH4(2-175)	GH4	GH4	N	3
WP_008195423.1	N	GH38(3-229)	GH38	GH38	N	3
WP_008195427.1	2.4.1.-	GT81(2-246)	GT81	GT81	N	3
WP_008195430.1	3.2.1.78	GH5_7(54-352)+CBM27(505-662)	CBM27+GH5	CBM27+GH5_7	N	3
WP_008195435.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_008195484.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_008195532.1	3.2.1.22	GH36(52-450)	GH36	GH36	N	3
WP_008195569.1	2.4.1.1	GT35(114-609)	GT35	GT35	N	3
WP_008195720.1	N	GH106(6-516)	GH0	GH106	N	3
WP_010865186.1	N	GH23(76-185)	GH23	N	Y(1-31)	2
WP_010865208.1	3.2.1.52	GH3(59-274)	GH3	GH3	N	3
WP_038050816.1	N	GT26(56-217)	GT26	GT26	N	3
WP_038050927.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_081501857.1	N	PL1(78-274)	N	PL1	Y(1-37)	2
WP_081501860.1	N	GH28(55-413)	GH28	GH28	N	3
WP_081501898.1	2.4.1.-|2.4.1.25	GH13(119-511)	GH13	GH13	N	3
WP_081501926.1	N	GH109(4-154)	N	N	N	1
WP_227738447.1	N	GH53(27-372)+CBM61(460-599)	CBM61+GH53+CBM32	CBM61+GH53	N	3
WP_231556559.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(215-455)+CBM4(486-624)	GH16+CBM4	CBM4+GH16_3	Y(1-18)	3
WP_231556589.1	N	CE4(10-155)	N	N	N	1
WP_231556615.1	N	CE1(128-322)	CE0	N	N	2
WP_231556618.1	3.2.1.4	GH12(82-148)	GH12	GH12	N	3
WP_008191984.1	N	N	CBM50	CBM50	N	2
WP_008192459.1	N	N	GT4	GT4	N	2
WP_008192848.1	N	N	GT4	GT4	N	2
WP_004080862.1	N	N	CE11	N	N	1
WP_008193373.1	N	N	GT0	GT0	N	2
WP_008194338.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_231556568.1	N	N	CBM50	CBM50	N	2
WP_004082064.1	N	N	GT4	N	N	1
WP_008195425.1	N	N	GT4	GT4	N	2
WP_004081507.1	N	N	N	GH1	N	1
WP_008192177.1	N	N	N	GH13	N	1
WP_008192205.1	N	N	N	CBM50+GH25	N	1
WP_008192339.1	N	N	N	CBM50	Y(1-19)	1
WP_008192383.1	N	N	N	GT4	N	1
WP_008192514.1	N	N	N	GT2	N	1
WP_038050726.1	N	N	N	GT4	N	1
WP_008192716.1	N	N	N	GH101	N	1
WP_008192729.1	N	N	N	GH13_11	N	1
WP_008192764.1	N	N	N	GH28	N	1
WP_008192898.1	N	N	N	GT2	N	1
WP_004080728.1	N	N	N	GT4	N	1
WP_008193093.1	N	N	N	GH13_31	N	1
WP_004080520.1	N	N	N	CE8	N	1
WP_008193776.1	N	N	N	GT1	N	1
WP_008193834.1	N	N	N	CBM48+GH13_9	N	1
WP_004082850.1	N	N	N	GT4	N	1
WP_008193960.1	N	N	N	GH13_26	N	1
WP_008194267.1	N	N	N	GT4	N	1
WP_008194385.1	N	N	N	GH5_11	N	1
WP_004082059.1	N	N	N	GT58	N	1
WP_008194905.1	N	N	N	GH28	N	1
WP_004081841.1	N	N	N	GH38	N	1
WP_004081712.1	N	N	N	GT83	N	1
WP_008195244.1	N	N	N	GH13	N	1
WP_008195706.1	N	N	N	GH84	N	1
