Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_033190994.1	N	GH42(7-369)	GH42	GH42	N	3
WP_033190995.1	3.2.1.22	GH36(98-479)	GH36	GH36	N	3
WP_033191209.1	N	GT5(2-477)	GT5	GT5	N	3
WP_033191220.1	3.2.1.39|3.2.1.-	CBM4(42-178)+CBM4(224-362)	GH16+CBM4	CBM4	Y(1-27)	3
WP_033191316.1	N	CE1(153-387)	N	N	N	1
WP_033191364.1	N	CE14(9-115)	CE14	CE14	N	3
WP_033191390.1	N	GH166(65-288)	N	GH0	N	2
WP_033191454.1	N	GT2(9-177)	GT2	GT2	N	3
WP_033191469.1	N	GT56(61-316)	GT56	GT0	N	3
WP_033191681.1	N	GT4(198-343)	GT4	GT4	N	3
WP_033191714.1	N	GT28(193-338)	GT28	GT28	N	3
WP_033191848.1	N	GT2(41-164)	GT2	GT2	N	3
WP_033191873.1	2.4.1.18|3.2.1.1	GH57(7-423)	GH57	GH57	N	3
WP_033191895.1	N	GH31(215-658)	GH31	GH31	N	3
WP_033191934.1	N	GH23(39-145)	GH23	N	N	2
WP_052107038.1	N	GH35(11-168)	GH35	GH35	N	3
WP_052107099.1	3.2.1.54	GH13_20(78-354)	GH13	GH13_20	N	3
WP_052107256.1	3.2.1.75	GH30_3(60-475)	GH30	GH30_3	N	3
WP_052107300.1	2.4.1.1	GT35(100-816)	GT35	GT35	N	3
WP_084384110.1	N	GH16_3(11-247)	GH16	GH16_3	N	3
WP_090221731.1	N	GH130(6-294)	GH130	GH130	N	3
WP_090221780.1	N	GH31(151-610)	GH31	GH31	N	3
WP_090221847.1	N	CE9(25-349)	CE9	CE9	N	3
WP_090221854.1	N	GH3(59-277)	GH3	GH3	N	3
WP_090221867.1	N	CBM9(791-963)	N	CBM0	N	2
WP_090221872.1	3.2.1.24	GH38(248-503)	GH38	GH38	N	3
WP_090222004.1	2.4.1.-|2.4.1.25	GH13(119-509)	GH13	GH13	N	3
WP_090222107.1	N	GH13_36(381-699)	GH13	GH13	N	3
WP_090222213.1	N	GT113(12-347)	N	GT113	N	2
WP_090222215.1	2.4.1.-	GT2(8-171)	GT2	GT2	N	3
WP_090222224.1	N	GT2(10-115)	GT2	GT2	N	3
WP_090222243.1	N	GH161(1-1070)	GH0	GH161	N	3
WP_090222246.1	N	CBM4(41-178)	N	CBM4	Y(1-27)	2
WP_090222339.1	N	GT4(218-376)	GT4	GT4	N	3
WP_090222356.1	2.4.1.14	GT4(251-416)	GT4+GT4	GT4	N	3
WP_090222456.1	N	GT4(199-350)	N	GT4	N	2
WP_090222487.1	N	GT56(14-341)	GT56	GT0	N	3
WP_090222498.1	N	GH35(11-405)	GH35	GH35	N	3
WP_090222499.1	N	GH94(4-785)	GH94	GH94	N	3
WP_090222557.1	3.2.1.21|3.2.1.-	GH1(4-437)	GH1	GH1	N	3
WP_090222582.1	N	GH144(32-415)	N	GH144	Y(1-29)	2
WP_090222584.1	N	GH144(4-394)	N	GH144	N	2
WP_090222664.1	3.2.1.68|3.2.1.-|2.4.1.25	CBM48(26-121)+GH13_11(201-555)	CBM48+GH13	CBM48+GH13_11	N	3
WP_090222741.1	N	GT4(277-430)	GT4	GT4	N	3
WP_090222794.1	N	GT51(53-217)	GT51	GT51	N	3
WP_090222808.1	3.2.1.20	GH4(8-185)	GH4	GH4	N	3
WP_090222821.1	N	GH109(1-154)	N	N	N	1
WP_090222904.1	2.4.1.25	GH13_36(20-333)	GH13	GH13	N	3
WP_090223012.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_090223130.1	N	GH20(125-421)	GH20	GH20	N	3
WP_090223182.1	2.4.1.230	GH65(309-695)	GH65	GH65	N	3
WP_090223202.1	N	GH109(4-183)	N	N	N	1
WP_090223221.1	N	GT26(56-213)	GT26	GT26	N	3
WP_090223304.1	3.2.1.1	GH13_2(87-413)	GH13	GH13	N	3
WP_090223314.1	N	CE4(140-269)	N	CE4	Y(1-35)	2
WP_090223330.1	3.2.1.-	GH3(78-299)	GH3	GH3	N	3
WP_090223355.1	3.2.1.21	GH1(2-449)	GH1	GH1	N	3
WP_090223359.1	3.2.1.4	GH5_25(70-330)	GH5	GH5_25	Y(1-25)	3
WP_090223361.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-321)	GH130	GH130	N	3
WP_128998084.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(49-265)	GH3	GH3	N	3
WP_128998093.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(49-265)	GH3	GH3	N	3
WP_164969237.1	N	GH171(22-338)	N	GH171	N	2
WP_164969289.1	3.2.1.41	CBM41(23-121)+GH13_14(383-700)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	Y(1-21)	3
WP_176759506.1	N	CE1(22-213)	CE0	N	N	2
WP_090222744.1	N	N	CBM50	N	Y(1-57)	1
WP_090222776.1	N	N	CBM50	CBM50	N	2
WP_090221950.1	N	N	CBM13	N	Y(1-25)	1
WP_090221953.1	N	N	CBM13	N	Y(1-35)	1
WP_090221971.1	N	N	CBM5	N	N	1
