Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_004080054.1	2.4.1.-	GT81(2-244)	GT81	GT81	N	3
WP_004080062.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_004080201.1	2.4.1.1	GT35(114-610)	GT35	GT35	N	3
WP_004080958.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_004081194.1	N	GT4(223-361)	GT4	GT4	N	3
WP_004082389.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_008191941.1	N	GT4(216-378)	GT4	GT4	N	3
WP_008191990.1	N	GH109(2-142)	N	N	N	1
WP_011942738.1	N	GT5(2-479)	GT5	GT5	N	3
WP_011942811.1	N	GT26(56-217)	GT26	GT26	N	3
WP_011942841.1	N	GH130(45-330)	GH0	GH0	N	3
WP_011942851.1	2.4.1.-|2.4.1.25	GH13(122-509)	GH13	GH13	N	3
WP_011942868.1	N	GT4(191-342)	GT4	GT4	N	3
WP_011942997.1	N	GH109(2-180)	N	N	N	1
WP_011943398.1	3.2.1.8|3.1.1.72	CE4(28-134)	CE4+CBM6	CE4	Y(1-27)	3
WP_011943446.1	N	CBM22(33-126)	N	N	Y(1-32)	1
WP_011943512.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_011943513.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_011943514.1	3.2.1.1	GH13_2(59-384)	GH13	GH13	N	3
WP_011943531.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_011943852.1	N	GH32(7-291)	GH32	GH32	N	3
WP_012310265.1	N	GH23(27-145)	GH23	N	N	2
WP_012310846.1	N	GH130(5-295)	GH130	GH130	N	3
WP_012311227.1	3.2.1.22	GH36(50-449)	GH36	GH36	N	3
WP_012895784.1	N	GT51(54-219)	GT51	GT51	N	3
WP_012895830.1	N	CE9(17-357)	CE9	CE9	N	3
WP_012895833.1	3.2.1.52	GH3(57-272)	GH3	GH3	N	3
WP_012895844.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_012895966.1	N	GT4(193-343)	N	GT4	N	2
WP_012895976.1	N	GT4(225-339)	GT4	GT4	N	3
WP_012895980.1	N	GT4(200-325)	GT4	GT4	N	3
WP_012895982.1	N	GH73(11-133)	GH73	N	N	2
WP_012896011.1	N	GH23(84-193)	GH23	GH23	N	3
WP_012896034.1	N	GT4(287-399)+GT2(746-853)	GT2+GT4	GT2+GT4	N	3
WP_012896035.1	N	GT2(7-137)	GT2	GT2	N	3
WP_012896050.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_012896054.1	N	GH13_36(72-381)	GH13	GH13_36	Y(1-22)	3
WP_012896064.1	3.2.1.24	GH38(247-498)	GH38	GH38	N	3
WP_012896088.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_012896094.1	N	CE1(190-386)	CE0	N	N	2
WP_012896097.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_012896100.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(56-174)+CBM22(205-335)+GH10(370-691)+CBM9(716-867)+CBM9(882-1057)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	Y(1-31)	3
WP_012896107.1	3.2.1.8	GH10(28-337)	GH10	GH10	Y(1-20)	3
WP_012896113.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_012896114.1	N	CE7(3-319)	CE7	CE7	N	3
WP_012896190.1	N	GT28(182-327)	GT28	GT28	N	3
WP_012896225.1	N	GH127(26-532)	GH127	GH127	N	3
WP_012896226.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_012896256.1	3.2.1.177	GH31(233-662)	GH31	GH31	N	3
WP_012896258.1	N	GH42(14-388)	GH42	GH42	N	3
WP_012896260.1	N	GH109(1-150)	N	N	N	1
WP_012896364.1	3.2.1.133	GH13(25-297)	GH13	GH13	N	3
WP_012896376.1	3.2.1.25	GH2(2-671)	GH2	GH2	N	3
WP_012896422.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-28)	3
WP_012896461.1	2.4.1.18|3.2.1.1	GH57(7-417)	GH57	GH57	N	3
WP_012896518.1	N	GH4(2-175)	GH4	GH4	N	3
WP_012896535.1	N	GH38(2-220)	GH38	GH38	N	3
WP_012896538.1	3.2.1.78	GH5_7(54-352)+CBM27(505-662)	CBM27+GH5	CBM27+GH5_7	N	3
WP_012896544.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_012896545.1	3.2.1.23	GH2(37-869)	GH2+CBM67	GH2	N	3
WP_012896611.1	N	GH106(6-534)	GH0	GH106	N	3
WP_012896621.1	3.2.1.31	GH2(9-560)	GH2	GH2	N	3
WP_041434776.1	3.2.1.39|3.2.1.-	CBM4(20-172)+GH16_3(216-456)+CBM4(487-625)	GH16+CBM4	CBM4+GH16_3	Y(1-19)	3
WP_081440596.1	3.2.1.8|3.1.1.73	CE1(111-304)	CE1	CE1	N	3
WP_081440600.1	3.2.1.4	GH12(86-253)	GH12	GH12	N	3
WP_004080862.1	N	N	CE11	N	N	1
WP_011943145.1	N	N	CBM50	CBM50	N	2
WP_011942974.1	N	N	GT4	GT4	N	2
WP_024103724.1	N	N	GT2	N	N	1
WP_012895978.1	N	N	GT0	GT0	N	2
WP_011942858.1	N	N	GT4	GT4	N	2
WP_012896057.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_012896342.1	N	N	CBM50	CBM50	N	2
WP_012896386.1	N	N	GT4	N	N	1
WP_012896536.1	N	N	GT4	GT4	N	2
WP_012896638.1	N	N	GT0	GT0	N	2
WP_012896653.1	3.2.1.8|3.1.1.73	N	CE1	N	N	1
WP_004080719.1	N	N	N	GH13_31	N	1
WP_011942757.1	N	N	N	GT4	N	1
WP_012895874.1	N	N	N	GH1	N	1
WP_008192177.1	N	N	N	GH13	N	1
WP_012895907.1	N	N	N	CBM50+GH25	N	1
WP_012895939.1	N	N	N	CBM50	Y(1-19)	1
WP_011942999.1	N	N	N	GT4	N	1
WP_081440581.1	N	N	N	GT2	N	1
WP_012896023.1	N	N	N	GH101	N	1
WP_011942892.1	N	N	N	GH13_11	N	1
WP_012896026.1	N	N	N	GH28	N	1
WP_012896043.1	N	N	N	GT2	N	1
WP_012896079.1	N	N	N	GT4	N	1
WP_012896150.1	N	N	N	GH13_26	N	1
WP_012896172.1	N	N	N	GT4	N	1
WP_011943262.1	N	N	N	GT1	N	1
WP_004082363.1	N	N	N	GH5_11	N	1
WP_011943696.1	N	N	N	GH28	N	1
WP_004082059.1	N	N	N	GT58	N	1
WP_011943783.1	N	N	N	GH38	N	1
WP_012896458.1	N	N	N	GT83	N	1
WP_012896488.1	N	N	N	GT4	N	1
WP_012896507.1	N	N	N	GH13	N	1
WP_012896604.1	N	N	N	GH84	N	1
WP_011944141.1	N	N	N	CE8	N	1
