Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_008191990.1	N	GH109(2-142)	N	N	N	1
WP_012644913.1	N	GH73(11-133)	GH73	N	N	2
WP_012644926.1	N	GT4(223-357)	GT4	GT4	N	3
WP_012644964.1	N	GH109(2-180)	N	N	N	1
WP_015918782.1	N	GT4(216-378)	GT4	GT4	N	3
WP_015918799.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_015918850.1	N	GH31(203-664)	GH31	GH31	N	3
WP_015918870.1	N	GH109(4-154)	N	N	N	1
WP_015918872.1	N	GH42(14-388)	GH42	GH42	N	3
WP_015918877.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
WP_015918949.1	N	GT28(182-327)	GT28	GT28	N	3
WP_015919072.1	3.2.1.8|3.1.1.72	CE4(21-128)	CE4+CBM6	CE4	Y(1-20)	3
WP_015919110.1	N	CE7(3-319)	CE7	CE7	N	3
WP_015919111.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_015919112.1	3.2.1.32	GH26(100-252)	GH26+CBM31	GH26	N	3
WP_015919118.1	3.2.1.8	GH10(28-337)	GH10	GH10	N	3
WP_015919134.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_015919232.1	3.2.1.133	GH13(28-297)	GH13	GH13	N	3
WP_015919254.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_015919259.1	N	GH13_36(73-382)	GH13	GH13_36	N	3
WP_015919265.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_015919276.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_015919571.1	N	GH32(7-290)	GH32	GH32	N	3
WP_015919598.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-18)	3
WP_015919766.1	N	GH4(2-175)	GH4	GH4	N	3
WP_015919811.1	N	GH38(5-220)	GH38	GH38	N	3
WP_015919813.1	2.4.1.-	GT81(2-244)	GT81	GT81	N	3
WP_015919840.1	N	GH53(36-381)+CBM61(469-608)	CBM61+GH53+CBM32	CBM61+GH53	N	3
WP_015919849.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_015919877.1	2.4.1.1	GT35(261-610)	GT35	GT35	N	3
WP_015919970.1	3.2.1.31	GH2(8-558)	GH2	GH2	N	3
WP_015919971.1	N	GH154(10-367)	N	GH154	N	2
WP_015920068.1	N	GH23(38-144)	GH23	N	N	2
WP_015920104.1	N	GT51(55-219)	GT51	GT51	N	3
WP_015920215.1	N	CBM66(109-225)	N	CBM66	Y(1-24)	2
WP_015920235.1	N	GT2(7-127)	GT2	GT2	N	3
WP_015920242.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_015920252.1	N	GT4(191-342)	GT4	GT4	N	3
WP_038066575.1	3.2.1.177	GH31(232-662)	GH31	GH31	N	3
WP_038066600.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_038066943.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_038067101.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_038067137.1	3.2.1.1	GH13_2(59-384)	GH13	GH13	Y(1-28)	3
WP_038067141.1	N	GH130(5-295)	GH130	GH130	N	3
WP_038067483.1	2.4.1.18|3.2.1.1	GH57(7-424)	GH57	GH57	N	3
WP_038067522.1	N	GT4(276-432)	GT4	GT4	N	3
WP_038067566.1	3.2.1.4	GH12(86-252)	GH12	GH12	N	3
WP_038067740.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(25-147)+CBM22(174-304)+GH10(332-494)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	Y(1-27)	3
WP_038067799.1	3.2.1.22	GH36(53-437)	GH36	GH36	N	3
WP_038068068.1	N	CE9(17-357)	CE9	CE9	N	3
WP_038068082.1	N	GT26(55-217)	GT26	GT26	N	3
WP_038068212.1	N	GT2(7-152)	GT2	GT2	N	3
WP_049750510.1	N	GH166(44-274)	N	GH0	N	2
WP_051949800.1	N	GH109(2-147)	N	N	N	1
WP_144399048.1	2.4.1.-|2.4.1.25	GH13(118-511)	GH13	GH13	N	3
WP_145971581.1	N	GT2(53-153)	N	GT2	N	2
WP_156095834.1	3.2.1.52	GH3(59-274)	GH3	GH3	N	3
WP_174872577.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(220-460)+CBM4(491-629)	GH16+CBM4	CBM4+GH16_3	Y(1-28)	3
WP_196776455.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(25-323)	GH130	GH130	N	3
WP_196776456.1	N	GT2(15-164)	N	GT2	N	2
WP_231555994.1	N	CE1(148-351)	CE0	N	N	2
WP_231556009.1	3.2.1.25	GH2(11-602)	GH2	GH2	N	3
WP_231556035.1	N	GT4(277-414)	GT4	GT4	N	3
WP_231556076.1	N	GH140(11-348)	N	GH140	N	2
WP_231556095.1	3.2.1.78	CBM27(33-190)	CBM27	CBM27+GH5_7	N	3
WP_231556123.1	N	GH23(74-185)	GH23	N	Y(1-31)	2
WP_038066242.1	N	N	GT4	GT4	N	2
WP_038066430.1	N	N	CBM50	CBM50	Y(1-32)	2
WP_015919264.1	N	N	CBM48	CBM48	Y(1-19)	2
WP_015919339.1	N	N	GT4	N	N	1
WP_231556014.1	N	N	CBM50	CBM50	N	2
WP_015919812.1	N	N	GT4	GT4	N	2
WP_015919997.1	N	N	GT0	GT0	N	2
WP_231556114.1	N	N	GH0	N	N	1
WP_231556112.1	N	N	GH0	GH0	N	2
WP_015920232.1	N	N	GT4	GT4	N	2
WP_015920236.1	N	N	GT2+GT4	GT4	N	2
WP_231555922.1	N	N	N	GT4	N	1
WP_012644983.1	N	N	N	CBM50	N	1
