Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_101509666.1	N	GH23(38-146)	GH23	N	N	2
WP_101509744.1	3.2.1.31	GH2(6-562)	GH2	GH2	N	3
WP_101509826.1	2.4.1.1	GT35(114-611)	GT35	GT35	N	3
WP_101509853.1	N	AA2(69-170)	N	AA2	N	2
WP_101509857.1	3.2.1.22	GH36(58-438)	GH36	GH36	N	3
WP_101509858.1	3.2.1.23	GH2(37-869)	GH2	GH2	N	3
WP_101509859.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_101509882.1	3.2.1.78	GH5_7(54-352)+CBM27(506-663)	CBM27+GH5	CBM27+GH5_7	N	3
WP_101509884.1	2.4.1.-	GT81(2-252)	GT81	GT81	N	3
WP_101509886.1	N	GH38(4-235)	GH38	GH38	N	3
WP_101509926.1	N	GH4(2-175)	GH4	GH4	N	3
WP_101510085.1	N	GH32(8-292)	GH32	GH32	N	3
WP_101510099.1	2.4.1.18|3.2.1.1	GH57(7-421)	GH57	GH57	N	3
WP_101510202.1	3.2.1.25	GH2(3-637)	GH2	GH2	N	3
WP_101510237.1	3.2.1.133	GH13(28-297)	GH13	GH13	N	3
WP_101510259.1	N	GT4(277-433)	GT4	GT4	N	3
WP_101510265.1	3.2.1.4	GH12(85-244)	GH12	N	N	2
WP_101510266.1	3.2.1.4	GH12(103-264)	GH12	GH12	N	3
WP_101510348.1	N	GH130(5-295)	GH130	GH130	N	3
WP_101510351.1	3.2.1.96|3.2.1.113|3.2.1.-	GH85(78-404)+CBM32(757-879)	GH85+CBM32	CBM32+GH85	Y(1-28)	3
WP_101510354.1	3.2.1.24	GH38(254-507)	GH38	GH38	N	3
WP_101510357.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_101510358.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_101510360.1	3.2.1.1	GH13_2(60-385)	GH13	GH13	N	3
WP_101510367.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_101510372.1	N	GH13_36(68-377)	GH13	GH13_36	N	3
WP_101510376.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_101510377.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_101510493.1	N	GT28(184-327)	GT28	GT28	N	3
WP_101510551.1	3.2.1.51	GH29(3-352)	GH29	GH29	N	3
WP_101510604.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_101510627.1	N	GT4(217-377)	GT4	GT4	N	3
WP_101510646.1	N	GH109(1-142)	N	N	N	1
WP_101510658.1	N	GH31(184-620)	GH31	GH31	N	3
WP_101510799.1	N	GH109(2-180)	N	N	N	1
WP_101510836.1	N	GT4(195-342)	GT4	GT4	N	3
WP_101510838.1	N	GH73(11-132)	GH73	N	N	2
WP_101510936.1	N	GT4(196-343)	GT4	GT4	N	3
WP_101510946.1	N	GT4(288-399)	GT2+GT4	GT2+GT4	N	3
WP_101510947.1	N	GT2(7-136)	GT2	GT2	N	3
WP_101510970.1	N	GH130(45-329)	GH0	GH0	N	3
WP_101511025.1	N	GH23(71-185)	GH23	N	N	2
WP_101511032.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(215-455)+CBM4(488-625)	GH16+CBM4	CBM4+GH16_3	Y(1-18)	3
WP_101511033.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_101511192.1	3.2.1.52	GH3(57-272)	GH3	GH3	N	3
WP_101511261.1	N	GT51(55-219)	GT51	GT51	N	3
WP_101511270.1	N	GT5(2-479)	GT5	GT5	N	3
WP_101511291.1	N	CE9(17-352)	CE9	CE9	N	3
WP_101511292.1	N	GT26(56-217)	GT26	GT26	N	3
WP_145998122.1	N	GT4(292-400)	GT4+GT2	GT4	N	3
WP_145998123.1	N	GT4(195-329)	N	GT4	N	2
WP_158241065.1	N	GH109(1-159)	N	N	N	1
WP_199203849.1	N	GH109(1-152)	N	N	N	1
WP_233186216.1	N	GH114(40-266)	N	GH0	Y(1-31)	2
WP_233186284.1	2.4.1.-|2.4.1.25	GH13(117-510)	GH13	GH13	N	3
WP_101509721.1	N	N	GT0	GT0	N	2
WP_101509885.1	N	N	GT4	GT4	N	2
WP_101510005.1	N	N	CBM50	CBM50	N	2
WP_101510190.1	N	N	GT4	N	N	1
WP_101510321.1	N	N	CBM50	N	N	1
WP_101510368.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_101511001.1	N	N	CBM50	CBM50	N	2
WP_101510820.1	N	N	GT4	GT4	N	2
WP_101510950.1	N	N	GT4	GT4	N	2
WP_101510988.1	N	N	CE11	N	N	1
WP_101509713.1	N	N	N	CE8	N	1
WP_101509757.1	N	N	N	GH84	N	1
WP_101509933.1	N	N	N	GH13	N	1
WP_101509989.1	N	N	N	GT4	N	1
WP_101510101.1	N	N	N	GT83	N	1
WP_101510160.1	N	N	N	GH38	N	1
WP_101510188.1	N	N	N	GT58	N	1
WP_101510201.1	N	N	N	GH28	N	1
WP_101510331.1	N	N	N	GT4	N	1
WP_101510388.1	N	N	N	GH5_11	N	1
WP_101510460.1	N	N	N	GT4	N	1
WP_101510501.1	N	N	N	CBM48+GH13_9	N	1
WP_101510531.1	N	N	N	GT1	N	1
WP_101510689.1	N	N	N	GH1	N	1
WP_101510736.1	N	N	N	CBM50+GH25	N	1
WP_101510784.1	N	N	N	CBM50	N	1
WP_101510798.1	N	N	N	GT4	N	1
WP_101510910.1	N	N	N	GH101	N	1
WP_101510915.1	N	N	N	GH13_11	N	1
WP_101510933.1	N	N	N	GH28	N	1
WP_101510965.1	N	N	N	GT2	N	1
WP_101511138.1	N	N	N	GT4	N	1
WP_101511249.1	N	N	N	GT4	N	1
WP_101511253.1	N	N	N	GH13_31	N	1
