Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_004079952.1	N	GT2(44-170)	GT2	GT2	N	3
WP_004079953.1	N	GH4(2-175)	GH4	GH4	N	3
WP_004080050.1	N	GH38(2-221)	GH38	GH38	N	3
WP_004080054.1	2.4.1.-	GT81(2-244)	GT81	GT81	N	3
WP_004080058.1	3.2.1.78	GH5_7(54-352)+CBM27(505-662)	CBM27+GH5	CBM27+GH5_7	N	3
WP_004080062.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_004080133.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_004080135.1	3.2.1.23	GH2(37-869)	GH2+CBM67+CBM32	GH2	N	3
WP_004080136.1	3.2.1.22	GH36(50-449)	GH36	GH36	N	3
WP_004080201.1	2.4.1.1	GT35(114-610)	GT35	GT35	N	3
WP_004080411.1	N	GH106(6-516)	GH0	GH106	N	3
WP_004080419.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_004080425.1	3.2.1.31	GH2(5-560)	GH2	GH2	N	3
WP_004080427.1	N	GH154(5-361)	N	GH154	N	2
WP_004080641.1	N	GH23(27-145)	GH23	N	N	2
WP_004080686.1	N	GT5(2-479)	GT5	GT5	N	3
WP_004080706.1	N	GT51(54-219)	GT51	GT51	N	3
WP_004080843.1	N	GT26(56-217)	GT26	GT26	N	3
WP_004080848.1	N	CE9(17-357)	CE9	CE9	N	3
WP_004080903.1	N	GH130(45-330)	GH0	GH0	N	3
WP_004080948.1	N	GT2(7-136)	GT2	GT2	N	3
WP_004080950.1	N	GT4(287-399)+GT2(746-854)	GT2+GT4	GT2+GT4	N	3
WP_004080958.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_004080975.1	N	GT4(191-342)	GT4	GT4	N	3
WP_004081166.1	N	GH73(14-133)	GH73	N	N	2
WP_004081170.1	N	GT4(246-402)	N	GT4	N	2
WP_004081178.1	N	GT4(204-358)	N	GT4	N	2
WP_004081188.1	2.4.1.-	GT4(193-343)	GT4	GT4	N	3
WP_004081194.1	N	GT4(223-361)	GT4	GT4	N	3
WP_004081634.1	N	GT4(277-431)	GT4	GT4	N	3
WP_004081643.1	N	GH114(37-262)	N	GH0	Y(1-27)	2
WP_004081649.1	N	GH32(7-291)	GH32	GH32	N	3
WP_004081707.1	2.4.1.18|3.2.1.1	GH57(7-418)	GH57	GH57	N	3
WP_004081891.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-28)	3
WP_004082096.1	3.2.1.25	GH2(2-671)	GH2	GH2	N	3
WP_004082154.1	3.2.1.133	GH13(25-297)	GH13	GH13	N	3
WP_004082283.1	3.2.1.4	GH5_25(28-289)	GH5	GH5_25	N	3
WP_004082285.1	3.2.1.73|3.2.1.78	GH5_36(10-295)	GH5	GH5_36	N	3
WP_004082380.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_004082384.1	N	GH13_36(72-381)	GH13	GH13_36	Y(1-26)	3
WP_004082389.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_004082398.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_004082399.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_004082402.1	3.2.1.24	GH38(247-502)	GH38	GH38	N	3
WP_004082403.1	N	GH130(5-295)	GH130	GH130	N	3
WP_004082477.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(215-455)+CBM4(486-624)	GH16+CBM4	CBM4+GH16_3	Y(1-18)	3
WP_004082478.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_004082543.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_004082550.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(56-174)+CBM22(205-335)+GH10(370-691)+CBM9(729-867)+CBM9(882-1057)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	N	3
WP_004082552.1	N	CBM22(33-126)	N	N	Y(1-26)	1
WP_004082568.1	3.2.1.8	GH10(28-337)	GH10	GH10	Y(1-20)	3
WP_004082594.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_004082599.1	N	CE7(3-319)	CE7	CE7	N	3
WP_004082686.1	3.2.1.8|3.1.1.72	CE4(29-142)	CE4+CBM6	CE4	Y(1-28)	3
WP_004082926.1	N	GT28(182-327)	GT28	GT28	N	3
WP_004082989.1	N	GH127(26-532)	GH127	GH127	N	3
WP_004082990.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_004083032.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
WP_004083036.1	3.2.1.177	GH31(233-663)	GH31	GH31	N	3
WP_004083040.1	N	GH42(14-388)	GH42	GH42	N	3
WP_004083169.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_004083215.1	N	GT4(216-378)	GT4	GT4	N	3
WP_004083264.1	N	GH109(1-142)	N	N	N	1
WP_004083303.1	N	GH109(2-151)	N	N	N	1
WP_008192388.1	N	GH109(2-180)	N	N	N	1
WP_010865093.1	N	GH109(4-154)	N	N	N	1
WP_010865117.1	N	PL1(77-274)	N	PL1	Y(1-37)	2
WP_010865118.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_010865120.1	N	GH28(55-413)	GH28	GH28	N	3
WP_010865169.1	N	GT4(172-296)	GT4	GT4	N	3
WP_010865186.1	N	GH23(76-185)	GH23	N	Y(1-31)	2
WP_010865200.1	2.4.1.-|2.4.1.25	GH13(127-511)	GH13	GH13	N	3
WP_010865208.1	3.2.1.52	GH3(59-274)	GH3	GH3	N	3
WP_010865354.1	3.2.1.4	GH12(86-253)	GH12	GH12	N	3
WP_010865414.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_227738410.1	N	CE1(162-358)	CE0	N	N	2
WP_227738447.1	N	GH53(27-372)+CBM61(460-599)	CBM61+GH53+CBM32	CBM61+GH53	N	3
WP_004083030.1	N	N	GH74	GH74	N	2
WP_004083253.1	N	N	CBM50	CBM50	N	2
WP_004081216.1	N	N	GT4	GT4	N	2
WP_004080941.1	N	N	GT4	GT4	N	2
WP_004080862.1	N	N	CE11	N	N	1
WP_004080488.1	N	N	GT0	GT0	N	2
WP_004080052.1	N	N	GT4	GT4	N	2
WP_004081644.1	N	N	GT4	N	N	1
WP_004082064.1	N	N	GT4	N	N	1
WP_227738400.1	N	N	CBM50	CBM50	N	2
WP_004082388.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_004082796.1	N	N	N	GH13_26	N	1
WP_004082850.1	N	N	N	GT4	N	1
WP_004082942.1	N	N	N	CBM48+GH13_9	N	1
WP_004082976.1	N	N	N	GT1	N	1
WP_004081507.1	N	N	N	GH1	N	1
WP_004081418.1	N	N	N	CBM50+GH25	N	1
WP_004081297.1	N	N	N	CBM50	Y(1-19)	1
WP_004081274.1	N	N	N	GT4	N	1
WP_004081020.1	N	N	N	GH101	N	1
WP_004081014.1	N	N	N	GH13_11	N	1
WP_004080983.1	N	N	N	GH28	N	1
WP_004080913.1	N	N	N	GT2	N	1
WP_004080728.1	N	N	N	GT4	N	1
WP_004080719.1	N	N	N	GH13_31	N	1
WP_004080520.1	N	N	N	CE8	N	1
WP_004080396.1	N	N	N	GH84	N	1
WP_004081541.1	N	N	N	GH13	N	1
WP_004081598.1	N	N	N	GT4	N	1
WP_004081712.1	N	N	N	GT83	N	1
WP_004081841.1	N	N	N	GH38	N	1
WP_004082059.1	N	N	N	GT58	N	1
WP_004082094.1	N	N	N	GH28	N	1
WP_004082363.1	N	N	N	GH5_11	N	1
WP_004082420.1	N	N	N	GT4	N	1
