Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_004080050.1	N	GH38(2-221)	GH38	GH38	N	3
WP_004080062.1	2.4.1.319|2.4.1.-|2.4.1.320	GH130(24-322)	GH130	GH130	N	3
WP_004081643.1	N	GH114(37-262)	N	GH0	Y(1-27)	2
WP_004081649.1	N	GH32(7-291)	GH32	GH32	N	3
WP_004081707.1	2.4.1.18|3.2.1.1	GH57(7-418)	GH57	GH57	N	3
WP_004082599.1	N	CE7(3-319)	CE7	CE7	N	3
WP_008191941.1	N	GT4(216-378)	GT4	GT4	N	3
WP_008192527.1	N	GT4(192-320)	N	GT4	N	2
WP_008192803.1	N	GT2(7-136)	GT2	GT2	N	3
WP_011943221.1	3.2.1.177	GH31(233-663)	GH31	GH31	N	3
WP_011943512.1	2.4.1.20|2.4.1.49	GH94(2-810)	GH94	GH94	N	3
WP_011943513.1	3.2.1.21|3.2.1.-	GH1(4-443)	GH1	GH1	N	3
WP_011943526.1	N	GH13_36(74-383)	GH13	GH13_36	Y(1-26)	3
WP_012310597.1	N	GH109(2-151)	N	N	N	1
WP_012310621.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_012310641.1	N	GH42(14-388)	GH42	GH42	N	3
WP_012311203.1	2.4.1.-	GT81(2-244)	GT81	GT81	N	3
WP_029683494.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_029683534.1	3.2.1.54	GH13_20(66-342)	GH13	GH13_20	N	3
WP_038051434.1	3.2.1.31	GH2(4-558)	GH2	GH2	N	3
WP_038051525.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
WP_038051575.1	3.2.1.55	GH51(3-482)	GH51	GH51	N	3
WP_038051583.1	N	GH127(26-532)	GH127	GH127	N	3
WP_038051693.1	N	GT28(182-327)	GT28	GT28	N	3
WP_038051971.1	3.2.1.8|3.1.1.72	CE4(29-142)	CE4+CBM6	CE4	Y(1-28)	3
WP_038052014.1	3.2.1.37|3.2.1.55|3.2.1.21	GH3(89-315)	GH3	GH3	N	3
WP_038052037.1	3.2.1.8	GH10(28-337)	GH10	GH10	Y(1-20)	3
WP_038052050.1	3.2.1.8|3.2.1.-|3.2.1.55|3.2.1.4	CBM22(56-174)+CBM22(205-335)+GH10(370-691)+CBM9(729-867)+CBM9(882-1057)	CBM9+CBM22+GH10	CBM22+CBM9+GH10	N	3
WP_038052060.1	3.2.1.139|3.2.1.131	GH67(5-670)	GH67	GH67	N	3
WP_038052109.1	3.2.1.21|3.2.1.58|3.2.1.37|3.2.1.-	GH3(46-262)	GH3	GH3	N	3
WP_038052172.1	N	GH130(5-295)	GH130	GH130	N	3
WP_038052199.1	3.2.1.41	CBM41(22-120)+GH13_14(383-701)	CBM41+GH13+CBM48	CBM41+CBM48+GH13_14	N	3
WP_038052215.1	3.2.1.20	GH4(5-186)	GH4	GH4	N	3
WP_038052552.1	3.2.1.4	GH12(86-253)	GH12	GH12	N	3
WP_038052560.1	3.2.1.4	GH12(103-272)	GH12	GH12	Y(1-28)	3
WP_038052757.1	3.2.1.25	GH2(2-670)	GH2	GH2	N	3
WP_038052988.1	N	GT4(276-433)	GT4	GT4	N	3
WP_038053000.1	N	GT4(277-431)	GT4	GT4	N	3
WP_038053143.1	N	GH4(2-175)	GH4	GH4	N	3
WP_038053260.1	3.2.1.78	GH5_7(54-352)+CBM27(505-662)	CBM27+GH5	CBM27+GH5_7	N	3
WP_038053332.1	3.2.1.23	GH42(5-390)	GH42	GH42	N	3
WP_038053335.1	3.2.1.22	GH36(50-440)	GH36	GH36	N	3
WP_038053387.1	2.4.1.1	GT35(114-610)	GT35	GT35	N	3
WP_038053507.1	N	GH106(5-516)	GH0	GH106	N	3
WP_038053521.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_038053534.1	3.2.1.31	GH2(5-561)	GH2	GH2	N	3
WP_038053854.1	N	GT5(2-479)	GT5	GT5	N	3
WP_038053885.1	N	GT51(54-219)	GT51	GT51	N	3
WP_038054086.1	N	CE9(17-357)	CE9	CE9	N	3
WP_038054159.1	N	GH130(45-330)	GH0	GH0	N	3
WP_038054171.1	N	CBM66(108-225)	N	N	Y(1-24)	1
WP_038054225.1	N	GT26(56-217)	GT26	GT26	N	3
WP_038054240.1	N	GT4(287-392)+GT2(742-848)	GT2+GT4	GT2+GT4	N	3
WP_038054251.1	N	GT4(191-342)	GT4	GT4	N	3
WP_038054464.1	N	GH73(13-132)	GH73	N	N	2
WP_038054470.1	N	GT4(197-347)	GT4	GT4	N	3
WP_038054485.1	N	GT4(219-361)	GT4	GT4	N	3
WP_038054552.1	N	GH109(2-180)	N	N	N	1
WP_052125272.1	N	GT4(302-411)	GT2	GT4	N	3
WP_148186709.1	N	GH28(55-413)	GH28	GH28	N	3
WP_156104991.1	N	GH109(4-153)	N	N	N	1
WP_156105012.1	N	CE1(162-358)	CE0	N	N	2
WP_156105018.1	3.2.1.24	GH38(247-498)	GH38	GH38	N	3
WP_156105099.1	3.2.1.52	GH3(59-274)	GH3	GH3	N	3
WP_156105105.1	2.4.1.-|2.4.1.25	GH13(119-511)	GH13	GH13	N	3
WP_156105119.1	N	GH23(76-185)	GH23	N	Y(1-31)	2
WP_235280276.1	3.2.1.39|3.2.1.-	CBM4(19-171)+GH16_3(215-455)+CBM4(486-624)	GH16+CBM4	CBM4+GH16_3	Y(1-18)	3
WP_235280280.1	3.2.1.1	GH13_2(69-394)	GH13	GH13	N	3
WP_235280290.1	3.2.1.133	GH13(41-311)	GH13	GH13	N	3
WP_235280335.1	3.2.1.8|3.1.1.73	CE1(79-279)	CE1	CE1	N	3
WP_235280345.1	N	GH23(19-137)	GH23	N	N	2
WP_038053635.1	N	N	GT0	GT0	N	2
WP_038054118.1	N	N	CE11	N	N	1
WP_038054213.1	N	N	GT4	GT4	N	2
WP_038054494.1	N	N	GT0	GT0	N	2
WP_011943145.1	N	N	CBM50	CBM50	N	2
WP_038052201.1	N	N	CBM48	CBM48	Y(1-23)	2
WP_235280287.1	N	N	CBM50	CBM50	N	2
WP_038052727.1	N	N	GT4	N	N	1
WP_038053258.1	N	N	GT4	GT4	N	2
WP_011944141.1	N	N	N	CE8	N	1
WP_038053908.1	N	N	N	GH13_31	N	1
WP_038053919.1	N	N	N	GT4	N	1
WP_038054173.1	N	N	N	GT2	N	1
WP_038054257.1	N	N	N	GH28	N	1
WP_038054293.1	N	N	N	GH13_11	N	1
WP_038054303.1	N	N	N	GH101	N	1
WP_038050726.1	N	N	N	GT4	N	1
WP_004081274.1	N	N	N	GT4	N	1
WP_038054594.1	N	N	N	CBM50	Y(1-22)	1
WP_038054693.1	N	N	N	CBM50+GH25	N	1
WP_038054698.1	N	N	N	GH13	N	1
WP_038054732.1	N	N	N	GH1	N	1
WP_038051601.1	N	N	N	GT1	N	1
WP_038051668.1	N	N	N	CBM48+GH13_9	N	1
WP_038051803.1	N	N	N	GT4	N	1
WP_038051880.1	N	N	N	GH13_26	N	1
WP_038052160.1	N	N	N	GT4	N	1
WP_008194385.1	N	N	N	GH5_11	N	1
WP_012310937.1	N	N	N	GH130	N	1
WP_038052715.1	N	N	N	GT58	N	1
WP_038052754.1	N	N	N	GH28	N	1
WP_011943783.1	N	N	N	GH38	N	1
WP_004081712.1	N	N	N	GT83	N	1
WP_038053026.1	N	N	N	GT4	N	1
WP_038053107.1	N	N	N	GH13	N	1
WP_038053500.1	N	N	N	GH84	N	1
