Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_008191990.1	N	GH109(2-142)	N	N	N	1
WP_012311240.1	2.4.1.1	GT35(114-610)	GT35	GT35	N	3
WP_012644964.1	N	GH109(2-180)	N	N	N	1
WP_015918949.1	N	GT28(182-327)	GT28	GT28	N	3
WP_015919072.1	3.2.1.8|3.1.1.72	CE4(21-128)	CE4+CBM6	CE4	Y(1-20)	3
WP_015919232.1	3.2.1.133	GH13(28-297)	GH13	GH13	N	3
WP_015919574.1	N	GT4(280-436)	GT4	GT4	N	3
WP_015919840.1	N	GH53(36-381)+CBM61(469-608)	CBM61+GH53+CBM32	CBM61+GH53	N	3
WP_015919971.1	N	GH154(10-367)	N	GH154	N	2
WP_015920068.1	N	GH23(38-144)	GH23	N	N	2
WP_015920104.1	N	GT51(55-219)	GT51	GT51	N	3
WP_015920215.1	N	CBM66(109-225)	N	CBM66	Y(1-24)	2
WP_015920252.1	N	GT4(191-342)	GT4	GT4	N	3
WP_038067137.1	3.2.1.1	GH13_2(59-384)	GH13	GH13	Y(1-28)	3
WP_041437598.1	3.2.1.25	GH2(2-645)	GH2	GH2	N	3
WP_041843728.1	N	GT5(2-479)	GT5	GT5	N	3
WP_041843754.1	N	CE9(17-357)	CE9	CE9	N	3
WP_041843768.1	N	GH130(44-330)	GH0	GH0	N	3
WP_041843784.1	N	GT2(7-136)	GT2	GT2	N	3
WP_041843788.1	3.2.1.20	GH4(2-193)	GH4	GH4	N	3
WP_041843839.1	N	GH73(13-133)	GH73	N	N	2
WP_041843844.1	N	GT4(229-362)	GT4	GT4	N	3
WP_041843850.1	N	GT2(17-151)	N	GT2	N	2
WP_041843935.1	3.2.1.20	GH4(4-186)	GH4	GH4	N	3
WP_041843956.1	N	GT4(216-378)	GT4	GT4	N	3
WP_041843968.1	2.4.1.25	GH13_36(20-320)	GH13	GH13	N	3
WP_041844013.1	N	GH42(14-388)	GH42	GH42	N	3
WP_041844015.1	3.2.1.177	GH31(233-663)	GH31	GH31	N	3
WP_041844017.1	3.2.1.51	GH29(3-354)	GH29	GH29	N	3
